employee_id,department_name,management_tier,job_title,base_salary,performance_rating,tenure_years,age,gender,ethnicity,hire_date,termination_date,engagement_score,manager_satisfaction,work_life_balance_score,is_attrition,comp_ratio,tenure_cohort,flight_risk_flag
3191,People Operations,Associate,Associate - People Operations,65108.65,4,0.91,34,Other,Two or More,2025-09-18,,4.0,3.0,3.0,0,1.108,0-1 Year (Onboarding),1
2483,People Operations,Associate,Associate - People Operations,44397.8,4,4.8,30,Female,African American,2021-10-27,,9.99,7.0,9.99,0,0.755,3+ Years (Tenured),0
3185,People Operations,Associate,Associate - People Operations,72974.57,4,2.49,31,Male,Hispanic,2024-02-17,,8.0,9.99,4.0,0,1.241,1-3 Years (Mid-Tenure),0
489,People Operations,Associate,Associate - People Operations,68504.62,4,3.51,38,Male,African American,2023-02-10,,5.0,8.0,9.99,0,1.165,3+ Years (Tenured),0
3785,People Operations,Associate,Associate - People Operations,68131.35,4,1.62,35,Other,Asian,2025-01-02,,1.0,8.0,3.0,0,1.159,1-3 Years (Mid-Tenure),1
2186,People Operations,Associate,Associate - People Operations,49766.52,2,3.22,37,Male,Caucasian,2023-05-26,,5.0,2.0,1.0,0,0.847,3+ Years (Tenured),0
3611,People Operations,Associate,Associate - People Operations,72014.61,4,1.07,36,Female,Hispanic,2025-07-21,,5.0,2.0,5.0,0,1.225,1-3 Years (Mid-Tenure),0
2187,People Operations,Associate,Associate - People Operations,55077.76,3,0.16,32,Other,Hispanic,2026-06-18,,6.0,5.0,5.0,0,0.937,0-1 Year (Onboarding),0
2232,People Operations,Associate,Associate - People Operations,61370.0,3,4.91,50,Other,African American,2021-09-18,,9.0,7.0,9.0,0,1.044,3+ Years (Tenured),0
2216,People Operations,Associate,Associate - People Operations,40000.21,4,3.35,25,Female,Asian,2023-04-10,,6.0,4.0,3.0,1,0.68,3+ Years (Tenured),0
481,People Operations,Associate,Associate - People Operations,50816.82,3,4.42,53,Other,Asian,2022-03-17,,9.99,5.0,6.0,0,0.864,3+ Years (Tenured),0
3606,People Operations,Associate,Associate - People Operations,62587.22,4,4.34,28,Male,Hispanic,2022-04-13,,4.0,2.0,4.0,0,1.065,3+ Years (Tenured),1
3224,People Operations,Associate,Associate - People Operations,40855.83,3,1.99,50,Female,Caucasian,2024-08-18,,6.0,2.0,7.0,0,0.695,1-3 Years (Mid-Tenure),0
849,People Operations,Associate,Associate - People Operations,55496.51,3,2.16,26,Other,Two or More,2024-06-16,,6.0,2.0,6.0,0,0.944,1-3 Years (Mid-Tenure),0
2083,People Operations,Associate,Associate - People Operations,70309.61,2,2.12,35,Male,Asian,2024-07-04,,7.0,7.0,4.0,0,1.196,1-3 Years (Mid-Tenure),0
3194,People Operations,Associate,Associate - People Operations,59344.99,4,5.04,23,Non-Binary,Asian,2021-08-03,,6.0,4.0,1.0,0,1.01,3+ Years (Tenured),0
3160,People Operations,Associate,Associate - People Operations,68899.77,3,2.62,39,Other,African American,2023-12-31,,5.0,4.0,6.0,0,1.172,1-3 Years (Mid-Tenure),0
2099,People Operations,Associate,Associate - People Operations,56225.21,3,4.92,26,Non-Binary,Asian,2021-09-13,,7.0,6.0,4.0,0,0.956,3+ Years (Tenured),0
2102,People Operations,Associate,Associate - People Operations,66341.73,2,2.7,39,Male,Two or More,2023-12-02,,8.0,8.0,7.0,0,1.129,1-3 Years (Mid-Tenure),0
3572,People Operations,Associate,Associate - People Operations,69860.93,3,4.61,27,Female,Two or More,2022-01-04,,7.0,5.0,6.0,0,1.188,3+ Years (Tenured),0
2111,People Operations,Associate,Associate - People Operations,61580.67,3,1.76,24,Male,,2024-11-11,,8.0,3.0,7.0,0,1.048,1-3 Years (Mid-Tenure),0
3105,People Operations,Associate,Associate - People Operations,72984.79,1,1.77,55,Other,Asian,2024-11-07,,9.99,8.0,4.0,0,1.242,1-3 Years (Mid-Tenure),0
2119,People Operations,Associate,Associate - People Operations,71285.42,4,1.94,42,Female,African American,2024-09-07,,6.0,8.0,5.0,0,1.213,1-3 Years (Mid-Tenure),0
3791,People Operations,Associate,Associate - People Operations,60900.87,3,3.39,39,Other,Asian,2023-03-27,,9.99,7.0,9.0,0,1.036,3+ Years (Tenured),0
3173,People Operations,Associate,Associate - People Operations,58162.38,5,3.33,33,Other,African American,2023-04-18,,5.0,4.0,1.0,0,0.989,3+ Years (Tenured),0
3220,People Operations,Associate,Associate - People Operations,72627.1,2,0.09,26,Male,Hispanic,2024-12-29,2025-02-01,6.0,5.0,5.0,1,1.235,0-1 Year (Onboarding),0
2141,People Operations,Associate,Associate - People Operations,50657.31,3,4.99,36,Female,,2021-08-20,,9.0,7.0,8.0,0,0.862,3+ Years (Tenured),0
467,People Operations,Associate,Associate - People Operations,55802.27,4,3.62,33,Non-Binary,Asian,2023-01-03,,3.0,8.0,2.0,0,0.949,3+ Years (Tenured),1
2265,People Operations,Associate,Associate - People Operations,74350.34,5,3.88,58,Male,African American,2022-09-30,,9.0,8.0,9.99,0,1.265,3+ Years (Tenured),0
830,People Operations,Associate,Associate - People Operations,70237.74,4,3.18,35,Non-Binary,Hispanic,2021-12-01,2025-02-05,9.0,6.0,6.0,1,1.195,3+ Years (Tenured),0
2631,People Operations,Associate,Associate - People Operations,69353.84,3,4.15,40,Female,African American,2021-09-04,2025-10-29,7.0,4.0,7.0,1,1.18,3+ Years (Tenured),0
824,People Operations,Associate,Associate - People Operations,70488.38,5,1.71,27,Other,Asian,2024-11-28,,1.0,2.0,9.99,0,1.199,1-3 Years (Mid-Tenure),1
1872,People Operations,Associate,Associate - People Operations,59059.57,2,0.3,49,Male,Hispanic,2026-04-27,,6.0,5.0,5.0,0,1.005,0-1 Year (Onboarding),0
2646,People Operations,Associate,Associate - People Operations,41417.85,4,3.31,35,Other,,2023-04-26,,7.0,9.0,9.0,0,0.705,3+ Years (Tenured),0
2331,People Operations,Associate,Associate - People Operations,66117.53,2,1.92,30,Female,Hispanic,2024-09-13,,6.0,6.0,5.0,0,1.125,1-3 Years (Mid-Tenure),0
557,People Operations,Associate,Associate - People Operations,51696.16,3,3.5,21,Female,Asian,2023-02-16,,6.0,8.0,1.0,0,0.879,3+ Years (Tenured),0
4378,People Operations,Associate,Associate - People Operations,53935.57,4,1.36,34,Other,Hispanic,2025-04-05,,5.0,2.0,9.0,0,0.917,1-3 Years (Mid-Tenure),0
3934,People Operations,Associate,Associate - People Operations,49974.52,1,0.42,36,Male,African American,2025-07-26,2025-12-25,3.0,1.0,1.0,1,0.85,0-1 Year (Onboarding),0
3652,People Operations,Associate,Associate - People Operations,70803.11,1,4.05,32,Male,African American,2022-07-28,,6.0,6.0,8.0,0,1.204,3+ Years (Tenured),0
559,People Operations,Associate,Associate - People Operations,72093.46,3,4.74,41,Non-Binary,Two or More,2021-11-19,,2.0,1.0,3.0,0,1.226,3+ Years (Tenured),0
832,People Operations,Associate,Associate - People Operations,65258.26,3,3.03,27,Other,Asian,2022-10-28,2025-11-07,6.0,4.0,1.0,1,1.11,3+ Years (Tenured),0
969,People Operations,Associate,Associate - People Operations,46080.47,2,1.2,32,Male,Asian,2025-06-02,,9.99,7.0,8.0,0,0.784,1-3 Years (Mid-Tenure),0
785,People Operations,Associate,Associate - People Operations,45696.04,3,4.04,50,Female,Hispanic,2022-08-01,,2.0,3.0,1.0,0,0.777,3+ Years (Tenured),0
2341,People Operations,Associate,Associate - People Operations,41413.91,3,4.84,56,Male,Caucasian,2021-10-15,,5.0,4.0,8.0,0,0.704,3+ Years (Tenured),0
116,People Operations,Associate,Associate - People Operations,42924.85,4,1.9,44,Male,Caucasian,2024-09-19,,4.0,4.0,9.0,0,0.73,1-3 Years (Mid-Tenure),1
930,People Operations,Associate,Associate - People Operations,42495.95,2,1.13,33,Male,Two or More,2025-06-28,,6.0,6.0,4.0,0,0.723,1-3 Years (Mid-Tenure),0
3947,People Operations,Associate,Associate - People Operations,63462.91,3,4.13,43,Non-Binary,Two or More,2022-06-29,,3.0,4.0,3.0,0,1.08,3+ Years (Tenured),0
2660,People Operations,Associate,Associate - People Operations,74220.5,3,4.34,46,,Asian,2022-04-13,,8.0,9.99,1.0,0,1.263,3+ Years (Tenured),0
2380,People Operations,Associate,Associate - People Operations,68004.01,4,0.12,38,,African American,2026-07-02,,6.0,5.0,5.0,0,1.157,0-1 Year (Onboarding),0
563,People Operations,Associate,Associate - People Operations,50307.89,3,1.47,44,Male,African American,2025-02-26,,1.0,3.0,1.0,0,0.856,1-3 Years (Mid-Tenure),0
2353,People Operations,Associate,Associate - People Operations,44072.46,4,0.58,36,Other,African American,2025-06-13,2026-01-12,2.0,6.0,5.0,1,0.75,0-1 Year (Onboarding),1
2664,People Operations,Associate,Associate - People Operations,61910.22,5,2.34,44,Other,African American,2024-04-14,,1.0,1.0,4.0,0,1.053,1-3 Years (Mid-Tenure),1
2665,People Operations,Associate,Associate - People Operations,60275.72,2,1.24,24,Female,African American,2025-05-19,,6.0,2.0,5.0,0,1.025,1-3 Years (Mid-Tenure),0
2357,People Operations,Associate,Associate - People Operations,52179.31,5,3.88,51,Other,African American,2022-09-27,,9.0,6.0,3.0,0,0.888,3+ Years (Tenured),0
2676,People Operations,Associate,Associate - People Operations,74504.58,3,2.44,21,Female,Asian,2024-03-07,,5.0,3.0,3.0,0,1.267,1-3 Years (Mid-Tenure),0
3116,People Operations,Associate,Associate - People Operations,67139.78,1,4.08,50,Male,African American,2022-07-19,,6.0,7.0,5.0,0,1.142,3+ Years (Tenured),0
1807,People Operations,Associate,Associate - People Operations,55640.51,4,5.05,38,Non-Binary,Hispanic,2021-07-30,,5.0,9.0,5.0,0,0.946,3+ Years (Tenured),0
3257,People Operations,Associate,Associate - People Operations,58420.39,3,4.06,21,Other,Asian,2021-10-26,2025-11-16,1.0,1.0,5.0,1,0.994,3+ Years (Tenured),0
3477,People Operations,Associate,Associate - People Operations,52759.17,1,2.63,31,Other,African American,2023-12-29,,9.99,7.0,7.0,0,0.897,1-3 Years (Mid-Tenure),0
1801,People Operations,Associate,Associate - People Operations,59865.21,4,0.39,30,Non-Binary,Caucasian,2026-03-27,,6.0,5.0,5.0,0,1.018,0-1 Year (Onboarding),0
2607,People Operations,Associate,Associate - People Operations,40840.69,3,3.41,38,Non-Binary,Caucasian,2023-03-20,,5.0,5.0,4.0,0,0.695,3+ Years (Tenured),0
2593,People Operations,Associate,Associate - People Operations,55105.16,3,0.12,41,Non-Binary,Asian,2023-06-07,2023-07-19,6.0,5.0,5.0,1,0.937,0-1 Year (Onboarding),0
934,People Operations,Associate,Associate - People Operations,61966.65,3,2.13,41,Male,Asian,2024-06-28,,6.0,6.0,5.0,0,1.054,1-3 Years (Mid-Tenure),0
3880,People Operations,Associate,Associate - People Operations,57568.24,4,4.91,43,Non-Binary,Hispanic,2021-09-18,,1.0,1.0,4.0,0,0.979,3+ Years (Tenured),1
3884,People Operations,Associate,Associate - People Operations,47393.51,3,1.09,27,Female,Caucasian,2025-07-12,,8.0,9.0,1.0,0,0.806,1-3 Years (Mid-Tenure),0
441,People Operations,Associate,Associate - People Operations,45007.31,3,4.99,62,Female,Asian,2021-08-19,,3.0,1.0,1.0,0,0.766,3+ Years (Tenured),0
3527,People Operations,Associate,Associate - People Operations,62988.28,5,0.19,54,Non-Binary,Hispanic,2026-06-08,,7.0,7.0,9.99,0,1.071,0-1 Year (Onboarding),0
2319,People Operations,Associate,Associate - People Operations,74958.84,4,4.83,36,Other,Two or More,2021-10-17,,9.99,7.0,3.0,0,1.275,3+ Years (Tenured),0
1945,People Operations,Associate,Associate - People Operations,70802.33,5,3.03,41,Male,African American,2023-08-05,,9.99,6.0,5.0,0,1.204,3+ Years (Tenured),0
3879,People Operations,Associate,Associate - People Operations,57479.73,5,1.67,43,Male,Two or More,2024-12-15,,2.0,2.0,4.0,0,0.978,1-3 Years (Mid-Tenure),1
1975,People Operations,Associate,Associate - People Operations,71943.63,3,1.73,29,Other,Hispanic,2024-11-23,,6.0,4.0,3.0,0,1.224,1-3 Years (Mid-Tenure),0
3139,People Operations,Associate,Associate - People Operations,59427.32,3,2.33,47,Female,Hispanic,2024-04-17,,2.0,1.0,5.0,0,1.011,1-3 Years (Mid-Tenure),0
3676,People Operations,Associate,Associate - People Operations,46747.18,1,4.36,34,Male,African American,2022-04-08,,4.0,4.0,9.0,0,0.795,3+ Years (Tenured),0
3673,People Operations,Associate,Associate - People Operations,58980.91,3,1.15,52,Non-Binary,Caucasian,2023-02-08,2024-04-03,9.99,9.0,5.0,1,1.003,1-3 Years (Mid-Tenure),0
545,People Operations,Associate,Associate - People Operations,63979.94,3,3.72,31,Other,African American,2022-11-27,,8.0,9.0,5.0,0,1.088,3+ Years (Tenured),0
2326,People Operations,Associate,Associate - People Operations,72397.4,5,0.34,45,Non-Binary,African American,2022-07-15,2022-11-15,6.0,5.0,5.0,1,1.232,0-1 Year (Onboarding),0
3247,People Operations,Associate,Associate - People Operations,54302.16,5,1.19,42,,Hispanic,2025-06-08,,6.0,9.0,4.0,0,0.924,1-3 Years (Mid-Tenure),0
3514,People Operations,Associate,Associate - People Operations,47218.14,1,2.45,34,Other,Asian,2024-03-05,,5.0,7.0,2.0,0,0.803,1-3 Years (Mid-Tenure),0
1903,People Operations,Associate,Associate - People Operations,43467.0,2,3.82,52,Other,Two or More,2022-10-19,,9.99,4.0,4.0,0,0.739,3+ Years (Tenured),0
1910,People Operations,Associate,Associate - People Operations,72525.52,5,0.78,31,Male,African American,2025-11-05,,6.0,9.0,3.0,0,1.234,0-1 Year (Onboarding),0
956,People Operations,Associate,Associate - People Operations,69713.41,3,4.82,44,Other,Two or More,2021-10-21,,8.0,8.0,5.0,0,1.186,3+ Years (Tenured),0
1913,People Operations,Associate,Associate - People Operations,41619.93,4,1.71,42,Male,Caucasian,2024-11-30,,7.0,9.99,6.0,0,0.708,1-3 Years (Mid-Tenure),0
949,People Operations,Associate,Associate - People Operations,54837.53,4,3.07,33,Non-Binary,Hispanic,2023-07-23,,4.0,3.0,1.0,0,0.933,3+ Years (Tenured),1
3901,People Operations,Associate,Associate - People Operations,57212.94,5,1.91,54,Male,Two or More,2024-09-17,,7.0,5.0,7.0,0,0.973,1-3 Years (Mid-Tenure),0
3461,People Operations,Domain Director,Domain Director - People Operations,147153.35,2,4.59,41,Male,Asian,2022-01-11,,7.0,9.99,4.0,0,1.051,3+ Years (Tenured),0
2845,People Operations,Domain Director,Domain Director - People Operations,130272.87,3,2.97,37,Male,Asian,2023-08-27,,3.0,3.0,5.0,0,0.93,1-3 Years (Mid-Tenure),0
3276,People Operations,Domain Director,Domain Director - People Operations,126706.61,3,3.57,31,Other,African American,2023-01-21,,3.0,5.0,7.0,0,0.905,3+ Years (Tenured),0
1821,People Operations,Domain Director,Domain Director - People Operations,155951.15,2,3.77,33,Female,Asian,2022-10-06,2026-07-13,4.0,5.0,1.0,1,1.114,3+ Years (Tenured),0
4177,People Operations,Manager,Manager - People Operations,104629.69,1,1.33,45,Male,Asian,2025-04-15,,7.0,5.0,5.0,0,1.045,1-3 Years (Mid-Tenure),0
2730,People Operations,Manager,manager - people operations,73830.02,4,4.12,43,Female,African American,2022-07-03,,6.0,6.0,4.0,0,0.738,3+ Years (Tenured),0
1357,People Operations,Manager,Manager - People Operations,109485.2,2,4.24,51,Male,Caucasian,2022-01-10,2026-04-06,8.0,5.0,3.0,1,1.094,3+ Years (Tenured),0
3406,People Operations,Manager,Manager - People Operations,110573.01,4,1.13,43,Female,African American,2025-06-28,,9.0,4.0,1.0,0,1.105,1-3 Years (Mid-Tenure),0
1680,People Operations,Manager,Manager - People Operations,78435.96,2,4.11,48,Male,Asian,2022-07-07,,2.0,1.0,4.0,0,0.784,3+ Years (Tenured),0
1798,People Operations,Manager,Manager - People Operations,101668.18,5,3.43,29,Female,Caucasian,2023-03-12,,7.0,1.0,5.0,0,1.016,3+ Years (Tenured),0
2128,People Operations,Manager,Manager - People Operations,83682.21,1,2.96,40,Male,Hispanic,2023-08-31,,7.0,5.0,5.0,0,0.836,1-3 Years (Mid-Tenure),0
1261,People Operations,Manager,Manager - People Operations,118063.1,2,1.14,39,Female,Caucasian,2025-06-24,,5.0,4.0,1.0,0,1.179,1-3 Years (Mid-Tenure),0
761,People Operations,Manager,Manager - People Operations,106880.1,5,1.67,50,Male,Hispanic,2024-12-14,,5.0,4.0,5.0,0,1.068,1-3 Years (Mid-Tenure),0
3260,People Operations,Manager,Manager - People Operations,77064.48,4,2.07,43,Non-Binary,Two or More,2024-07-19,,8.0,5.0,3.0,0,0.77,1-3 Years (Mid-Tenure),0
2700,People Operations,Manager,Manager - People Operations,119964.73,5,2.35,41,Female,Hispanic,2024-04-10,,3.0,4.0,8.0,0,1.198,1-3 Years (Mid-Tenure),1
3788,People Operations,Manager,Manager - People Operations,112403.59,2,3.03,25,Non-Binary,Asian,2023-08-05,,3.0,2.0,7.0,0,1.123,3+ Years (Tenured),0
2454,People Operations,Manager,Manager - People Operations,104656.1,5,0.4,40,Male,Hispanic,2026-03-21,,9.99,8.0,4.0,0,1.045,0-1 Year (Onboarding),0
1156,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,86900.11,3,3.8,28,Female,Two or More,2022-10-27,,4.0,7.0,8.0,0,1.185,3+ Years (Tenured),0
4455,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,76731.14,3,4.7,47,Female,Asian,2021-12-04,,2.0,3.0,1.0,0,1.046,3+ Years (Tenured),0
1347,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,82081.33,5,1.36,45,Male,Two or More,2025-04-04,,7.0,7.0,6.0,0,1.119,1-3 Years (Mid-Tenure),0
2987,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,57215.0,4,1.39,54,Male,Caucasian,2025-03-27,,6.0,7.0,7.0,0,0.78,1-3 Years (Mid-Tenure),0
2302,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,58002.93,3,0.41,34,Female,Hispanic,2026-03-18,,6.0,5.0,5.0,0,0.791,0-1 Year (Onboarding),0
3730,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,80522.44,4,4.2,29,Female,Caucasian,2022-06-05,,6.0,5.0,4.0,0,1.098,3+ Years (Tenured),0
1163,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,61883.39,5,5.09,35,Other,African American,2021-07-13,,6.0,5.0,4.0,0,0.844,3+ Years (Tenured),0
2345,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,84157.53,5,2.79,51,Male,Caucasian,2023-11-02,,5.0,8.0,5.0,0,1.147,1-3 Years (Mid-Tenure),0
2938,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,77721.3,3,0.58,43,Female,Asian,2026-01-15,,7.0,5.0,5.0,0,1.06,0-1 Year (Onboarding),0
3211,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,73251.85,4,4.82,44,Female,Two or More,2021-10-20,,4.0,7.0,1.0,0,0.999,3+ Years (Tenured),1
3195,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,60483.28,5,4.25,34,Male,Two or More,2022-05-17,,7.0,5.0,5.0,0,0.825,3+ Years (Tenured),0
1304,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,87931.63,3,2.43,47,Male,African American,2024-03-11,,6.0,4.0,7.0,0,1.199,1-3 Years (Mid-Tenure),0
1849,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,73197.08,4,2.58,52,,Asian,2024-01-15,,3.0,7.0,7.0,0,0.998,1-3 Years (Mid-Tenure),1
1598,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,89276.69,4,4.04,35,Non-Binary,Asian,2022-08-01,,6.0,9.0,9.99,0,1.217,3+ Years (Tenured),0
1365,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,82354.98,4,4.43,44,Other,African American,2022-03-13,,6.0,5.0,7.0,0,1.123,3+ Years (Tenured),0
2570,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,83699.96,3,1.09,33,Non-Binary,African American,2025-07-12,,5.0,1.0,1.0,0,1.141,1-3 Years (Mid-Tenure),0
3146,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,70794.87,3,4.92,38,Female,Two or More,2021-09-16,,7.0,4.0,9.99,0,0.965,3+ Years (Tenured),0
1643,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,73339.89,4,3.94,51,Female,Caucasian,2022-09-07,,4.0,1.0,1.0,0,1.0,3+ Years (Tenured),1
2605,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,75308.31,3,2.75,31,Male,Caucasian,2023-11-16,,7.0,3.0,3.0,0,1.027,1-3 Years (Mid-Tenure),0
2616,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,82023.32,2,0.94,41,Other,,2025-09-05,,3.0,2.0,4.0,0,1.118,0-1 Year (Onboarding),0
2721,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,64679.71,4,2.13,36,Non-Binary,Two or More,2024-06-30,,6.0,5.0,6.0,0,0.882,1-3 Years (Mid-Tenure),0
786,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,74089.47,3,3.17,37,Other,Asian,2023-06-16,,1.0,3.0,4.0,0,1.01,3+ Years (Tenured),0
1617,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,84704.04,2,3.84,46,Female,Two or More,2022-10-14,,7.0,9.0,9.0,0,1.155,3+ Years (Tenured),0
3268,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,85431.22,4,2.02,44,Male,Asian,2024-08-07,,9.0,7.0,7.0,0,1.165,1-3 Years (Mid-Tenure),0
3979,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,64437.59,4,0.23,55,Female,Caucasian,2026-05-23,,6.0,5.0,5.0,0,0.879,0-1 Year (Onboarding),0
3497,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,74706.36,2,0.96,26,Non-Binary,Caucasian,2025-08-31,,8.0,9.0,5.0,0,1.019,0-1 Year (Onboarding),0
3092,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,75003.55,4,1.33,40,Male,Two or More,2025-04-17,,9.99,7.0,4.0,0,1.023,1-3 Years (Mid-Tenure),0
566,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,58842.64,2,2.57,36,Male,Two or More,2024-01-21,,9.99,4.0,8.0,0,0.802,1-3 Years (Mid-Tenure),0
1774,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,63864.01,3,4.66,40,Male,Hispanic,2021-12-18,,1.0,2.0,5.0,0,0.871,3+ Years (Tenured),0
569,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,65765.2,3,2.49,28,Male,Caucasian,2024-02-19,,8.0,7.0,6.0,0,0.897,1-3 Years (Mid-Tenure),0
579,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,76514.38,3,4.89,45,Male,Asian,2021-09-24,,8.0,9.0,6.0,0,1.043,3+ Years (Tenured),0
3178,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,79178.28,5,3.24,56,Other,African American,2023-05-22,,8.0,6.0,8.0,0,1.08,3+ Years (Tenured),0
2225,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,81800.45,4,3.95,28,Female,Caucasian,2022-09-02,,7.0,1.0,5.0,0,1.115,3+ Years (Tenured),0
688,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,70135.65,2,0.21,47,Male,Asian,2025-02-01,2025-04-18,6.0,5.0,5.0,0,0.956,0-1 Year (Onboarding),0
485,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,83560.32,3,4.72,26,Male,Caucasian,2021-11-25,,1.0,2.0,1.0,0,1.139,3+ Years (Tenured),0
4,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,64834.07,3,4.69,41,Male,Asian,2021-12-06,,5.0,3.0,1.0,0,0.884,3+ Years (Tenured),0
3594,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,70215.79,2,2.7,21,,Hispanic,2023-12-03,,5.0,4.0,1.0,0,0.957,1-3 Years (Mid-Tenure),0
1409,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,57111.37,4,1.05,43,Non-Binary,Two or More,2025-07-26,,6.0,3.0,3.0,0,0.779,1-3 Years (Mid-Tenure),0
3034,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,76976.66,1,1.35,34,Male,Two or More,2025-04-08,,2.0,4.0,5.0,0,1.05,1-3 Years (Mid-Tenure),0
667,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,70176.34,3,2.85,24,Other,African American,2023-10-10,,7.0,4.0,8.0,0,0.957,1-3 Years (Mid-Tenure),0
3037,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,74567.83,4,1.79,31,Female,Asian,2024-10-29,,3.0,5.0,5.0,0,1.017,1-3 Years (Mid-Tenure),1
1594,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,69104.59,5,1.24,50,Female,Asian,2025-05-18,,8.0,7.0,2.0,0,0.942,1-3 Years (Mid-Tenure),0
4420,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,57366.69,3,3.72,59,Male,Two or More,2022-11-26,,7.0,9.0,3.0,0,0.782,3+ Years (Tenured),0
4111,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,73225.99,5,0.96,35,Male,Two or More,2025-08-28,,1.0,1.0,5.0,0,0.998,0-1 Year (Onboarding),1
2825,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,81541.01,3,3.86,41,Female,Asian,2022-10-05,,4.0,2.0,3.0,0,1.112,3+ Years (Tenured),0
1101,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,83639.46,1,2.52,45,Male,Two or More,2023-04-05,2025-10-10,2.0,3.0,2.0,1,1.14,1-3 Years (Mid-Tenure),0
1550,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,65979.48,5,3.97,49,Other,Two or More,2022-08-26,,5.0,1.0,7.0,0,0.9,3+ Years (Tenured),0
4081,People Operations,Supervisor/Lead,Supervisor/Lead - People Operations,56066.55,2,1.57,40,Male,Hispanic,2025-01-20,,6.0,3.0,6.0,0,0.764,1-3 Years (Mid-Tenure),0
2144,Finance,Assistant Manager,Assistant Manager - Finance,99565.03,2,2.88,47,Female,Hispanic,2023-09-28,,1.0,5.0,1.0,0,1.267,1-3 Years (Mid-Tenure),0
3899,Finance,Assistant Manager,Assistant Manager - Finance,70428.87,1,3.5,39,Other,Hispanic,2021-12-28,2025-06-27,8.0,9.0,5.0,1,0.896,3+ Years (Tenured),0
3896,Finance,Assistant Manager,Assistant Manager - Finance,71014.73,1,1.34,44,Male,Hispanic,2025-04-12,,9.99,5.0,9.99,0,0.904,1-3 Years (Mid-Tenure),0
1670,Finance,Assistant Manager,Assistant Manager - Finance,88779.21,3,3.14,34,Male,Asian,2023-06-26,,7.0,7.0,8.0,0,1.13,3+ Years (Tenured),0
3423,Finance,Assistant Manager,Assistant Manager - Finance,70632.28,2,0.15,26,Other,Two or More,2025-08-18,2025-10-13,6.0,5.0,5.0,1,0.899,0-1 Year (Onboarding),0
4419,Finance,Assistant Manager,Assistant Manager - Finance,71062.34,5,5.11,37,Non-Binary,African American,2021-07-06,,2.0,5.0,3.0,0,0.904,3+ Years (Tenured),1
3875,Finance,Associate,Associate - Finance,40724.84,4,5.0,39,Other,Two or More,2021-08-17,,5.0,1.0,1.0,0,0.7,3+ Years (Tenured),0
2576,Finance,Associate,Associate - Finance,43965.42,2,2.81,45,Male,African American,2023-10-25,,1.0,2.0,3.0,0,0.756,1-3 Years (Mid-Tenure),0
1417,Finance,Associate,Associate - Finance,61768.84,3,0.71,46,Female,Hispanic,2022-07-24,2023-04-09,6.0,5.0,5.0,1,1.062,0-1 Year (Onboarding),0
